Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,R_command_actuator,L_command_actuator,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D
0.0098,-0.6937,-2.4991,0.2441,0.7935,0.000008,0.000002,0.000002,0.000008,0.000002,0.000008,0.000926,-0.000002,0.004077,-0.000005
0.0203,-0.6937,-2.4991,0.2441,0.7935,0.000073,0.000017,0.000017,0.000073,0.000017,0.000073,0.004762,-0.000013,0.019363,-0.000043
0.0298,-0.6937,-2.4882,0.2441,1.0376,0.000316,0.000079,0.000079,0.000316,0.000079,0.000316,0.012871,-0.000056,0.047316,-0.000182
0.0398,-0.6937,-2.4717,0.2441,1.1597,0.000938,0.000248,0.000248,0.000938,0.000248,0.000938,0.025179,-0.000157,0.085253,-0.000524
0.0498,-0.6937,-2.4607,0.2441,1.1597,0.002196,0.000608,0.000608,0.002196,0.000608,0.002196,0.040696,-0.000347,0.131138,-0.001191
0.0598,-0.6937,-2.4497,0.1831,1.1597,0.004372,0.001259,0.001259,0.004372,0.001259,0.004372,0.058709,-0.00065,0.183197,-0.002299
0.0698,-0.6937,-2.4387,0.1221,1.0376,0.007754,0.002306,0.002306,0.007754,0.002306,0.007754,0.078939,-0.001077,0.239941,-0.003938
0.0798,-0.6937,-2.4167,0.1831,0.6104,0.01262,0.003854,0.003854,0.01262,0.003854,0.01262,0.101018,-0.001628,0.300136,-0.006159
0.0898,-0.6937,-2.4167,0.3662,0.6104,0.019224,0.006007,0.006007,0.019224,0.006007,0.019224,0.124597,-0.00229,0.362709,-0.008954
0.0998,-0.6882,-2.4167,0.3052,0.2441,0.02779,0.008862,0.008862,0.02779,0.008862,0.02779,0.149367,-0.00305,0.426732,-0.012253
0.1098,-0.6937,-2.4167,0,-0.061,0.038505,0.012506,0.012506,0.038505,0.012506,0.038505,0.175024,-0.0039,0.491432,-0.01593
0.1198,-0.6937,-2.4167,0,-0.2441,0.05152,0.017017,0.017017,0.05152,0.017017,0.05152,0.201288,-0.004826,0.556148,-0.019813
0.1298,-0.6992,-2.4222,-0.1221,-0.3052,0.066945,0.022459,0.022459,0.066945,0.022459,0.066945,0.227911,-0.0058,0.620306,-0.023699
0.1398,-0.6992,-2.4332,0,-0.1831,0.084851,0.028883,0.028883,0.084851,0.028883,0.084851,0.254666,-0.006776,0.683434,-0.02738
0.1498,-0.6992,-2.4332,0.2441,-0.1831,0.105274,0.036328,0.036328,0.105274,0.036328,0.105274,0.281344,-0.007707,0.745137,-0.03067
0.1598,-0.6992,-2.4332,0.3052,-0.1831,0.128216,0.044819,0.044819,0.128216,0.044819,0.128216,0.307758,-0.008557,0.805068,-0.033426
0.1698,-0.6992,-2.4387,0.3052,-0.1221,0.153647,0.054367,0.054367,0.153647,0.054367,0.153647,0.333747,-0.009317,0.862933,-0.035564
0.1798,-0.6992,-2.4387,0.2441,-0.061,0.181507,0.06497,0.06497,0.181507,0.06497,0.181507,0.359175,-0.010003,0.918493,-0.037049
0.1898,-0.6992,-2.4387,0,-0.061,0.211713,0.076613,0.076613,0.211713,0.076613,0.211713,0.383933,-0.010643,0.971553,-0.037893
0.1998,-0.6992,-2.4387,0,-0.1221,0.244153,0.089272,0.089272,0.244153,0.089272,0.244153,0.407932,-0.011257,1.021952,-0.038142
0.2098,-0.7047,-2.4387,-0.061,-0.061,0.278696,0.102907,0.102907,0.278696,0.102907,0.278696,0.43111,-0.011846,1.069568,-0.037864
0.2198,-0.7047,-2.4387,-0.1221,-0.061,0.31519,0.117472,0.117472,0.31519,0.117472,0.31519,0.453425,-0.012395,1.114314,-0.037136
0.2298,-0.7102,-2.4387,0,0,0.353467,0.13291,0.13291,0.353467,0.13291,0.353467,0.474852,-0.012875,1.156137,-0.036036
0.2398,-0.7102,-2.4387,0,0,0.393342,0.149159,0.149159,0.393342,0.149159,0.393342,0.495375,-0.013255,1.195009,-0.034641
0.2498,-0.7102,-2.4387,-0.061,0,0.434618,0.16615,0.16615,0.434618,0.16615,0.434618,0.514988,-0.013513,1.23093,-0.033025
0.2598,-0.7102,-2.4387,-0.061,0,0.477091,0.183809,0.183809,0.477091,0.183809,0.477091,0.533688,-0.013636,1.263925,-0.031256
0.2698,-0.7102,-2.4442,0,-0.1221,0.520546,0.202062,0.202062,0.520546,0.202062,0.520546,0.551479,-0.01362,1.294041,-0.029392
0.2798,-0.7157,-2.4497,0,-0.1831,0.564765,0.220829,0.220829,0.564765,0.220829,0.564765,0.568378,-0.013469,1.321359,-0.027475
0.2898,-0.7157,-2.4552,0,-0.3052,0.609529,0.240034,0.240034,0.609529,0.240034,0.609529,0.58441,-0.013191,1.345975,-0.02553
0.2998,-0.7212,-2.4607,-0.1221,-0.4272,0.654617,0.259597,0.259597,0.654617,0.259597,0.654617,0.599603,-0.012804,1.367997,-0.023561
0.3098,-0.7212,-2.4662,-0.1221,-0.4272,0.699816,0.27944,0.27944,0.699816,0.27944,0.699816,0.61399,-0.012322,1.387541,-0.021553
0.3198,-0.7267,-2.4662,-0.1221,-0.3052,0.744913,0.299488,0.299488,0.744913,0.299488,0.744913,0.627603,-0.011756,1.404724,-0.019478
0.3298,-0.7321,-2.4717,-0.3052,-0.2441,0.789708,0.319665,0.319665,0.789708,0.319665,0.789708,0.640484,-0.011109,1.419666,-0.017307
