Time_ms,imu_RTx,imu_LTx,imu_1_left_shaking,imu_2_right_shaking,imu_3_left_foot,imu_4_right_foot,RLTx_delay,torque_delay,tau_raw_L,tau_raw_R,S_torque_command_left,S_torque_command_right,M1_torque_command,M2_torque_command,Rescaling_gain,imu_Rvel,imu_Lvel,freq_avg,R_flexion,L_flexion,extra3,R_extension,L_extension
13286,4.1401,-9.5142,-97.0000,-37.4156,-16.8383,-97.0000,0.0000,0.0000,-1.3654,1.3654,0.0000,0.0000,0.0000,0.0000,5.0000,53.8940,-41.5039,0.0000,0.0000,-0.0117,0.0000,0.0000,0.0000
13296,4.1401,-9.5142,-97.0000,-37.4156,-75.2690,-97.0000,0.0000,0.0000,-3.7003,3.7003,0.0000,0.0000,0.0000,0.0000,5.0000,53.8940,-41.5039,0.0000,0.0001,-0.1189,0.0000,0.0000,0.0000
13306,4.1401,-24.9280,-97.0000,-48.3635,-75.3350,-97.0000,0.0000,0.0000,-7.1330,7.1330,0.0000,0.0000,0.0000,0.0000,5.0000,53.8940,-36.3770,0.0000,0.0000,-0.3150,0.0000,0.0000,0.0000
13316,20.2406,-24.9280,-97.0000,-48.3635,-75.3350,-97.0000,0.0000,0.0000,-12.9107,12.9107,0.0000,0.0000,0.0000,0.0000,5.0000,13.3057,-36.3770,0.0000,0.0000,-0.6551,0.0000,0.0000,0.0000
13326,20.2406,-24.9280,-97.0000,-48.3470,-75.0383,-97.0000,0.0000,0.0000,-19.0397,19.0397,0.0000,0.0000,0.0000,0.0000,5.0000,13.3057,-36.3770,0.0000,0.0000,-1.1280,0.0000,0.0000,0.0000
13336,20.2461,-25.5323,-97.0000,-48.3470,-75.0383,-97.0000,0.0000,0.0000,-24.0652,24.0652,0.0000,0.0000,0.0000,0.0000,5.0000,13.3057,-34.1187,0.0000,0.0000,-1.6808,0.0000,0.0000,0.0000
13346,20.2461,-25.8014,-97.0000,-48.3525,-74.2803,-97.0000,0.0000,0.0000,-28.2176,28.2176,0.0000,0.0000,0.0000,0.0000,5.0000,13.3057,-32.5317,0.0000,0.0000,-2.2752,0.0000,0.0000,0.0000
13356,20.2461,-26.0267,-97.0000,-48.3690,-73.7694,-97.0000,0.0000,0.0000,-31.6278,31.6278,0.0000,0.0000,0.0000,0.0000,5.0000,13.3057,-30.6396,0.0000,0.0000,-2.8827,0.0000,0.0000,0.0000
13366,20.2296,-26.2409,-97.0000,-48.4075,-73.1981,-97.0000,0.0000,0.0000,-34.4301,34.4301,0.0000,0.0000,0.0000,0.0000,5.0000,13.5498,-28.1982,0.0000,0.0000,-3.4832,0.0000,0.0000,0.0000
13376,20.2516,-26.5760,-97.0000,-48.4569,-72.5939,-97.0000,0.0000,0.0000,-36.7535,36.7535,0.0000,0.0000,0.0000,0.0000,5.0000,15.0146,-24.0479,0.0000,0.0000,-4.0634,0.0000,0.0000,0.0000
13386,20.2900,-26.5760,-97.0000,-48.4569,-71.9786,-97.0000,0.0000,0.0000,-38.6714,38.6714,0.0000,0.0000,0.0000,0.0000,5.0000,16.6016,-24.0479,0.0000,0.0000,-4.6140,0.0000,0.0000,0.0000
13396,20.3340,-26.6913,-97.0000,-48.5503,-71.3634,-97.0000,0.0000,0.0000,-40.2443,40.2443,0.0000,0.0000,0.0000,0.0000,5.0000,17.4561,-22.0337,0.0000,0.0000,-5.1292,0.0000,0.0000,0.0000
13406,20.3340,-26.7682,-97.0000,-48.5558,-70.7592,-97.0000,0.0000,0.0000,-41.5404,41.5404,0.0000,0.0000,0.0000,0.0000,5.0000,17.4561,-18.7378,0.0000,0.0000,-5.6061,0.0000,0.0000,0.0000
13416,20.5098,-26.8067,-97.0000,-48.5558,-70.1824,-97.0000,0.0000,0.0000,-42.6186,42.6186,0.0000,0.0000,0.0000,0.0000,5.0000,18.4326,-15.4419,0.0000,0.0000,-6.0437,0.0000,0.0000,0.0000
13426,20.5098,-26.7957,-97.0000,-48.4899,-69.6440,-97.0000,0.0000,0.0000,-43.5101,43.5101,0.0000,0.0000,0.0000,0.0000,5.0000,18.4326,-11.1084,0.0000,0.0000,-6.4424,0.0000,0.0000,0.0000
13436,20.5098,-26.7957,-97.0000,-48.4459,-69.1442,-97.0000,0.0000,0.0000,-44.2312,44.2312,0.0000,0.0000,0.0000,0.0000,5.0000,18.4326,-11.1084,0.0000,0.0000,-6.8030,0.0000,0.0000,0.0000
13446,20.6910,-26.5210,-97.0000,-48.4020,-68.6718,-97.0000,0.0000,0.0000,-44.8060,44.8060,0.0000,0.0000,0.0000,0.0000,5.0000,18.7378,-4.8828,0.0000,0.0000,-7.1267,0.0000,0.0000,0.0000
13456,20.8668,-26.5210,-97.0000,-48.4020,-68.2103,-97.0000,0.0000,0.0000,-45.2807,45.2807,0.0000,0.0000,0.0000,0.0000,5.0000,18.6768,-4.8828,0.0000,0.0000,-7.4159,0.0000,0.0000,0.0000
13466,20.9877,-26.5210,-97.0000,-48.2811,-67.7379,-97.0000,0.0000,0.0000,-45.6931,45.6931,0.0000,0.0000,0.0000,0.0000,5.0000,19.1650,-4.8828,0.0000,0.0000,-7.6715,0.0000,0.0000,0.0000
13476,21.0865,-26.1365,-97.0000,-48.2042,-67.2435,-97.0000,0.0000,0.0000,-46.0095,46.0095,0.0000,0.0000,0.0000,0.0000,5.0000,19.1650,4.9438,0.0000,0.0000,-6.7863,0.0000,0.0000,0.0000
13486,21.1854,-25.8509,-97.0000,-48.1218,-66.7052,-97.0000,0.0000,0.0000,-46.2214,46.2214,0.0000,0.0000,0.0000,0.0000,5.0000,18.7988,10.0708,0.0000,0.0000,-5.7710,0.0000,0.0000,0.0000
13496,21.2019,-25.5103,-97.0000,-48.0504,-66.0735,-97.0000,0.0000,0.0000,-46.3438,46.3438,0.0000,0.0000,0.0000,0.0000,5.0000,17.8833,14.4653,0.0000,0.0000,-4.9054,0.0000,0.0000,0.0000
13506,21.2129,-25.1313,-97.0000,-48.0504,-65.3209,-97.0000,0.0000,0.0000,-46.3770,46.3770,0.0000,0.0000,0.0000,0.0000,5.0000,17.0898,17.5781,0.0000,0.0000,-4.1696,0.0000,0.0000,0.0000
13516,21.2294,-24.2798,-97.0000,-47.8856,-64.4091,-97.0000,0.0000,0.0000,-46.2873,46.2873,0.0000,0.0000,0.0000,0.0000,5.0000,15.3809,22.5830,0.0000,0.0000,-3.5441,0.0000,0.0000,0.0000
13526,21.2568,-24.2798,-97.0000,-47.8856,-64.4091,-97.0000,0.0000,0.0000,-46.1422,46.1422,0.0000,0.0000,0.0000,0.0000,5.0000,14.3433,22.5830,0.0000,0.0000,-3.0125,0.0000,0.0000,0.0000
13536,21.2568,-23.8349,-97.0000,-47.8032,-61.9316,-97.0000,0.0000,0.0000,-45.9827,45.9827,0.0000,0.0000,0.0000,0.0000,5.0000,14.3433,24.2310,0.0000,0.0000,-2.5606,0.0000,0.0000,0.0000
13546,21.2568,-23.3735,-97.0000,-47.6714,-61.7119,-97.0000,0.0000,0.0000,-45.7672,45.7672,0.0000,0.0000,0.0000,0.0000,5.0000,14.3433,27.0996,0.0000,0.0001,-2.1765,0.0000,0.0000,0.0000
13556,21.2074,-23.3735,-97.0000,-47.6165,-61.7119,-97.0000,0.0000,0.0000,-45.5463,45.5463,0.0000,0.0000,0.0000,0.0000,5.0000,14.7095,27.0996,0.0000,0.0006,-1.8501,0.0000,0.0000,0.0000
13566,21.2294,-23.3735,-97.0000,-47.5396,-67.8258,-97.0000,0.0000,0.0000,-45.3650,45.3650,0.0000,0.0000,0.0000,0.0000,5.0000,14.6484,27.0996,0.0000,0.0011,-1.5725,0.0000,0.0000,0.0000
13576,21.2404,-21.9837,-97.0000,-47.4462,-69.6550,-97.0000,0.0000,0.0000,-45.0823,45.0823,0.0000,0.0000,0.0000,0.0000,5.0000,14.5874,29.9683,0.0000,0.0018,-1.3367,0.0000,0.0000,0.0000
13586,21.2404,-20.9510,-97.0000,-47.3363,-71.1272,-97.0000,0.0000,0.0000,-44.6260,44.6260,0.0000,0.0000,0.0000,0.0000,5.0000,14.5874,37.1094,0.0000,0.0029,-1.1362,0.0000,0.0000,0.0000
13596,21.1085,-20.9510,-97.0000,-47.3363,-72.2972,-97.0000,0.0000,0.0000,-44.1502,44.1502,0.0000,0.0000,0.0000,0.0000,5.0000,12.9395,37.1094,0.0000,0.0148,-0.9657,0.0000,0.0000,0.0000
13606,21.1415,-20.4236,-97.0000,-47.2100,-73.2860,-97.0000,0.0000,0.0000,-43.7035,43.7035,0.0000,0.0000,0.0000,0.0000,5.0000,10.9253,38.1470,0.0000,0.0198,-0.8209,0.0000,0.0000,0.0000
13616,21.1415,-19.9293,-97.0000,-46.9738,-74.4615,-97.0000,0.0000,0.0000,-43.2478,43.2478,0.0000,0.0000,0.0000,0.0000,5.0000,10.9253,35.1563,0.0000,0.0243,-0.6977,0.0000,0.0000,0.0000
13626,21.1580,-19.5063,-97.0000,-46.8749,-75.8898,-97.0000,0.0000,0.0000,-42.7935,42.7935,0.0000,0.0000,0.0000,0.0000,5.0000,9.2163,29.2969,0.0000,0.0268,-0.5931,0.0000,0.0000,0.0000
13636,20.9547,-19.1547,-97.0000,-46.7815,-75.8898,-97.0000,0.0000,0.0000,-42.3335,42.3335,0.0000,0.0000,0.0000,0.0000,5.0000,-0.7935,23.1323,0.0000,0.1129,-0.5041,0.0000,0.0000,0.0000
13646,20.8503,-18.8581,-97.0000,-46.6826,-78.7957,-97.0000,0.0000,0.0000,-41.8708,41.8708,0.0000,0.0000,0.0000,0.0000,5.0000,-3.3569,19.5923,0.0000,0.2929,-0.4285,0.0000,0.0000,0.0000
13656,20.8503,-18.2758,-97.0000,-46.5508,-80.0151,-97.0000,0.0000,0.0000,-41.4017,41.4017,0.0000,0.0000,0.0000,0.0000,5.0000,-3.3569,21.0571,0.0000,0.3579,-0.3642,0.0000,0.0000,0.0000
13666,20.7075,-18.2758,-97.0000,-46.5508,-80.0151,-97.0000,0.0000,0.0000,-40.9551,40.9551,0.0000,0.0000,0.0000,0.0000,5.0000,-7.0801,21.0571,0.0000,0.6267,-0.3096,0.0000,0.0000,0.0000
13676,20.3010,-17.9407,-97.0000,-46.3585,-81.1028,-97.0000,0.0000,0.0000,-40.5063,40.5063,0.0000,0.0000,0.0000,0.0000,5.0000,-12.2070,27.2827,0.0000,1.7067,-0.2632,0.0000,0.0000,0.0000
13686,20.0813,-17.9407,-97.0000,-46.2267,-81.1028,-97.0000,0.0000,0.0000,-40.0540,40.0540,0.0000,0.0000,0.0000,0.0000,5.0000,-15.6860,27.2827,0.0000,2.6385,-0.2237,0.0000,0.0000,0.0000
13696,19.7902,-17.2541,-97.0000,-46.0454,-81.4873,-97.0000,0.0000,0.0000,-39.5702,39.5702,0.0000,0.0000,0.0000,0.0000,5.0000,-20.7520,22.6440,0.0000,3.4274,-0.1901,0.0000,0.0000,0.0000
13706,19.7902,-16.9904,-97.0000,-45.7982,-81.5038,-97.0000,0.0000,0.0000,-39.0639,39.0639,0.0000,0.0000,0.0000,0.0000,5.0000,-20.7520,18.1885,0.0000,4.0629,-0.1616,0.0000,0.0000,0.0000
13716,19.4551,-16.7707,-97.0000,-45.4961,-81.4818,-97.0000,0.0000,0.0000,-38.5746,38.5746,0.0000,0.0000,0.0000,0.0000,5.0000,-25.2075,15.5640,0.0000,4.6084,-0.1374,0.0000,0.0000,0.0000
13726,19.4551,-16.3697,-97.0000,-45.1720,-81.3774,-97.0000,0.0000,0.0000,-38.0882,38.0882,0.0000,0.0000,0.0000,0.0000,5.0000,-25.2075,12.6953,0.0000,5.0386,-0.1168,0.0000,0.0000,0.0000
13736,18.2081,-16.3697,-97.0000,-45.1720,-81.2017,-97.0000,0.0000,0.0000,-37.5334,37.5334,0.0000,0.0000,0.0000,0.0000,5.0000,-35.5835,12.6953,0.0000,5.4088,-0.0992,0.0000,0.0000,0.0000
13746,18.2081,-16.1939,-97.0000,-44.4854,-80.9819,-97.0000,0.0000,0.0000,-36.9543,36.9543,0.0000,0.0000,0.0000,0.0000,5.0000,-35.5835,11.0474,0.0000,5.7061,-0.0844,0.0000,0.0000,0.0000
13756,18.2081,-16.0401,-97.0000,-44.4854,-80.7402,-97.0000,0.0000,0.0000,-36.4540,36.4540,0.0000,0.0000,0.0000,0.0000,5.0000,-35.5835,8.5449,0.0000,5.9437,-0.0717,0.0000,0.0000,0.0000
13766,16.5931,-15.9192,-97.0000,-43.8427,-80.4766,-97.0000,0.0000,0.0000,-35.8613,35.8613,0.0000,0.0000,0.0000,0.0000,5.0000,-36.6211,6.8970,0.0000,6.1280,-0.0610,0.0000,0.0000,0.0000
13776,15.9999,-15.9192,-97.0000,-43.5570,-80.2129,-97.0000,0.0000,0.0000,-35.1657,35.1657,0.0000,0.0000,0.0000,0.0000,5.0000,-34.1187,6.8970,0.0000,6.2637,-0.0518,0.0000,0.0000,0.0000
13786,15.9999,-15.8149,-97.0000,-43.2988,-80.2129,-97.0000,0.0000,0.0000,-34.5384,34.5384,0.0000,0.0000,0.0000,0.0000,5.0000,-34.1187,5.9204,0.0000,6.3603,-0.0440,0.0000,0.0000,0.0000
13796,15.5000,-15.5842,-97.0000,-43.0571,-79.7570,-97.0000,0.0000,0.0000,-33.9478,33.9478,0.0000,0.0000,0.0000,0.0000,5.0000,-31.5552,1.0376,0.0000,6.4247,-0.0374,0.0000,0.0000,0.0000
13806,14.5662,-15.5842,-97.0000,-43.0571,-79.5647,-97.0000,0.0000,0.0000,-33.3104,33.3104,0.0000,0.0000,0.0000,0.0000,5.0000,-24.4141,1.0376,0.0000,6.4603,-0.0318,0.0000,0.0000,0.0000
13816,14.1377,-15.5457,-97.0000,-42.6122,-79.3944,-97.0000,0.0000,0.0000,-32.6633,32.6633,0.0000,0.0000,0.0000,0.0000,5.0000,-19.4702,1.0986,0.0000,6.4712,-0.0271,0.0000,0.0000,0.0000
13826,13.7532,-15.5018,-97.0000,-42.3870,-79.2516,-97.0000,0.0000,0.0000,-32.0542,32.0542,0.0000,0.0000,0.0000,0.0000,5.0000,-18.4937,2.0752,0.0000,6.4621,-0.0230,0.0000,0.0000,0.0000
13836,13.7532,-15.4523,-97.0000,-42.1782,-79.1143,-97.0000,0.0000,0.0000,-31.5174,31.5174,0.0000,0.0000,0.0000,0.0000,5.0000,-18.4937,2.3193,0.0000,6.4383,-0.0196,0.0000,0.0000,0.0000
13846,13.4181,-15.4139,-97.0000,-41.9915,-78.9934,-97.0000,0.0000,0.0000,-31.0408,31.0408,0.0000,0.0000,0.0000,0.0000,5.0000,-15.5029,1.3428,0.0000,6.4038,-0.0168,0.0000,0.0000,0.0000
13856,13.4181,-15.3754,-97.0000,-41.9915,-78.8890,-97.0000,0.0000,0.0000,-30.6173,30.6173,0.0000,0.0000,0.0000,0.0000,5.0000,-15.5029,1.4038,0.0000,6.3617,-0.0144,0.0000,0.0000,0.0000
13866,13.4181,-15.3754,-97.0000,-41.6454,-78.7957,-97.0000,0.0000,0.0000,-30.2708,30.2708,0.0000,0.0000,0.0000,0.0000,5.0000,-15.5029,1.4038,0.0000,6.3151,-0.0125,0.0000,0.0000,0.0000
13876,13.1160,-15.2930,-97.0000,-41.6454,-78.7133,-97.0000,0.0000,0.0000,-29.9516,29.9516,0.0000,0.0000,0.0000,0.0000,5.0000,-10.4980,2.3804,0.0000,6.2661,-0.0109,0.0000,0.0000,0.0000
13886,12.8468,-15.2436,-97.0000,-41.3378,-78.6418,-97.0000,0.0000,0.0000,-29.6267,29.6267,0.0000,0.0000,0.0000,0.0000,5.0000,-6.2866,2.0752,0.0000,6.2146,-0.0095,0.0000,0.0000,0.0000
13896,12.5886,-15.1832,-97.0000,-41.1785,-78.5759,-97.0000,0.0000,0.0000,-29.3029,29.3029,0.0000,0.0000,0.0000,0.0000,5.0000,-3.2349,3.0518,0.0000,6.1611,-0.0084,0.0000,0.0000,0.0000
13906,11.9349,-15.1117,-97.0000,-41.0356,-78.5210,-97.0000,0.0000,0.0000,-28.9395,28.9395,0.0000,0.0000,0.0000,0.0000,5.0000,2.4414,4.8218,0.0000,6.1051,-0.0074,0.0000,0.0000,0.0000
13916,11.5999,-15.0294,-97.0000,-40.9148,-78.4771,-97.0000,0.0000,0.0000,-28.5381,28.5381,0.0000,0.0000,0.0000,0.0000,5.0000,9.0942,5.4932,0.0000,6.0454,-0.0065,0.0000,0.0000,0.0000
13926,11.4900,-15.0294,-97.0000,-40.8049,-78.4331,-97.0000,0.0000,0.0000,-28.1644,28.1644,0.0000,0.0000,0.0000,0.0000,5.0000,11.1694,5.4932,0.0000,5.9834,-0.0060,0.0000,0.0000,0.0000
13936,11.4021,-14.8536,-97.0000,-40.6786,-78.3947,-97.0000,0.0000,0.0000,-27.8255,27.8255,0.0000,0.0000,0.0000,0.0000,5.0000,11.7798,6.6528,0.0000,5.9196,-0.0053,0.0000,0.0000,0.0000
13946,11.1165,-14.7547,-97.0000,-40.6786,-78.3617,-97.0000,0.0000,0.0000,-27.4888,27.4888,0.0000,0.0000,0.0000,0.0000,5.0000,11.4746,7.8735,0.0000,5.8554,-0.0046,0.0000,0.0000,0.0000
13956,11.1165,-14.6448,-97.0000,-40.4204,-78.3342,-97.0000,0.0000,0.0000,-27.1704,27.1704,0.0000,0.0000,0.0000,0.0000,5.0000,11.4746,8.3008,0.0000,5.7829,-0.0040,0.0000,0.0000,0.0000
13966,11.1165,-14.5350,-97.0000,-40.2666,-78.3123,-97.0000,0.0000,0.0000,-26.8917,26.8917,0.0000,0.0000,0.0000,0.0000,5.0000,11.4746,9.1553,0.0000,5.6655,-0.0035,0.0000,0.0000,0.0000
13976,10.6495,-14.4141,-97.0000,-40.1073,-78.3013,-97.0000,0.0000,0.0000,-26.5973,26.5973,0.0000,0.0000,0.0000,0.0000,5.0000,6.4087,10.0098,0.0000,5.6081,-0.0031,0.0000,0.0000,0.0000
13986,10.4463,-14.2823,-97.0000,-40.1073,-78.3068,-97.0000,0.0000,0.0000,-26.2724,26.2724,0.0000,0.0000,0.0000,0.0000,5.0000,5.6763,11.1694,0.0000,5.5476,-0.0027,0.0000,0.0000,0.0000
13996,10.1826,-14.1395,-97.0000,-39.9535,-78.3068,-97.0000,0.0000,0.0000,-25.9384,25.9384,0.0000,0.0000,0.0000,0.0000,5.0000,4.8218,12.7563,0.0000,5.4877,-0.0023,0.0000,0.0000,0.0000
14006,9.9409,-13.9802,-97.0000,-39.8217,-78.3068,-97.0000,0.0000,0.0000,-25.5912,25.5912,0.0000,0.0000,0.0000,0.0000,5.0000,6.6528,14.2822,0.0000,5.4262,-0.0020,0.0000,0.0000,0.0000
14016,9.7102,-13.8099,-97.0000,-39.7063,-78.3068,-97.0000,0.0000,0.0000,-25.2338,25.2338,0.0000,0.0000,0.0000,0.0000,5.0000,7.0190,15.3809,0.0000,5.3624,-0.0017,0.0000,0.0000,0.0000
14026,9.7102,-13.6341,-97.0000,-39.5470,-78.2903,-97.0000,0.0000,0.0000,-24.8906,24.8906,0.0000,0.0000,0.0000,0.0000,5.0000,7.0190,15.8691,0.0000,5.2593,-0.0015,0.0000,0.0000,0.0000
14036,9.6113,-13.4583,-97.0000,-39.5470,-78.2958,-97.0000,0.0000,0.0000,-24.5693,24.5693,0.0000,0.0000,0.0000,0.0000,5.0000,8.4229,16.6626,0.0000,5.1156,-0.0013,0.0000,0.0000,0.0000
14046,9.5399,-13.2715,-97.0000,-39.5085,-78.3177,-97.0000,0.0000,0.0000,-24.2586,24.2586,0.0000,0.0000,0.0000,0.0000,5.0000,8.2397,17.9443,0.0000,4.8944,-0.0011,0.0000,0.0000,0.0000
14056,9.3531,-13.0573,-97.0000,-39.4811,-78.3232,-97.0000,0.0000,0.0000,-23.9435,23.9435,0.0000,0.0000,0.0000,0.0000,5.0000,6.7139,20.5078,0.0000,4.7226,-0.0009,0.0000,0.0000,0.0000
14066,9.1554,-13.0573,-97.0000,-39.4646,-78.3397,-97.0000,0.0000,0.0000,-23.6325,23.6325,0.0000,0.0000,0.0000,0.0000,5.0000,5.6152,20.5078,0.0000,4.5930,-0.0008,0.0000,0.0000,0.0000
14076,8.9521,-12.3047,-97.0000,-39.4646,-78.3507,-97.0000,0.0000,0.0000,-23.2671,23.2671,0.0000,0.0000,0.0000,0.0000,5.0000,4.6997,24.5972,0.0000,4.4907,-0.0007,0.0000,0.0000,0.0000
14086,8.5237,-12.3047,-97.0000,-39.4701,-78.3617,-97.0000,0.0000,0.0000,-22.8423,22.8423,0.0000,0.0000,0.0000,0.0000,5.0000,3.2349,24.5972,0.0000,4.4797,-0.0006,0.0000,0.0000,0.0000
14096,8.5237,-12.0630,-97.0000,-39.5031,-78.3837,-97.0000,0.0000,0.0000,-22.4355,22.4355,0.0000,0.0000,0.0000,0.0000,5.0000,3.2349,23.4985,0.0000,4.3733,-0.0005,0.0000,0.0000,0.0000
14106,8.3040,-11.8433,-97.0000,-39.5195,-78.3782,-97.0000,0.0000,0.0000,-22.0403,22.0403,0.0000,0.0000,0.0000,0.0000,5.0000,2.7466,21.9727,0.0000,4.2865,-0.0004,0.0000,0.0000,0.0000
14116,8.3040,-11.6401,-97.0000,-39.5195,-78.3617,-97.0000,0.0000,0.0000,-21.6603,21.6603,0.0000,0.0000,0.0000,0.0000,5.0000,2.7466,20.9961,0.0000,4.0373,-0.0004,0.0000,0.0000,0.0000
14126,8.1282,-11.4423,-97.0000,-39.5085,-78.3287,-97.0000,0.0000,0.0000,-21.2969,21.2969,0.0000,0.0000,0.0000,0.0000,5.0000,2.3193,20.7520,0.0000,3.8295,-0.0003,0.0000,0.0000,0.0000
14136,8.1282,-11.2555,-97.0000,-39.4591,-78.2848,-97.0000,0.0000,0.0000,-20.9502,20.9502,0.0000,0.0000,0.0000,0.0000,5.0000,2.3193,19.9585,0.0000,3.4754,-0.0003,0.0000,0.0000,0.0000
14146,8.1282,-11.0798,-97.0000,-39.3932,-78.2134,-97.0000,0.0000,0.0000,-20.6350,20.6350,0.0000,0.0000,0.0000,0.0000,5.0000,2.3193,18.6157,0.0000,3.0667,-0.0002,0.0000,0.0000,0.0000
14156,7.8975,-10.9205,-97.0000,-39.3932,-78.1420,-97.0000,0.0000,0.0000,-20.3248,20.3248,0.0000,0.0000,0.0000,0.0000,5.0000,0.3662,17.2729,0.0000,2.8041,-0.0002,0.0000,0.0000,0.0000
14166,7.7217,-10.7776,-97.0000,-39.2723,-78.1420,-97.0000,0.0000,0.0000,-20.0067,20.0067,0.0000,0.0000,0.0000,0.0000,5.0000,-3.4790,15.6860,0.0000,2.6106,-0.0002,0.0000,0.0000,0.0000
14176,7.4965,-10.6513,-97.0000,-39.2174,-77.9827,-97.0000,0.0000,0.0000,-19.6851,19.6851,0.0000,0.0000,0.0000,0.0000,5.0000,-5.5542,14.1602,0.0000,2.5117,-0.0002,0.0000,0.0000,0.0000
14186,6.6780,-10.5359,-97.0000,-39.1680,-77.8838,-97.0000,0.0000,0.0000,-19.2996,19.2996,0.0000,0.0000,0.0000,0.0000,5.0000,-11.9629,12.8174,0.0000,2.7027,-0.0002,0.0000,0.0000,0.0000
14196,6.6780,-10.4371,-97.0000,-39.1185,-77.7794,-97.0000,0.0000,0.0000,-18.8934,18.8934,0.0000,0.0000,0.0000,0.0000,5.0000,-11.9629,11.1084,0.0000,2.8007,-0.0002,0.0000,0.0000,0.0000
14206,6.3539,-10.3602,-97.0000,-39.0746,-77.6750,-97.0000,0.0000,0.0000,-18.5155,18.5155,0.0000,0.0000,0.0000,0.0000,5.0000,-14.5874,9.2773,0.0000,2.8939,-0.0002,0.0000,0.0000,0.0000
14216,6.0078,-10.2503,-97.0000,-39.0306,-77.5542,-97.0000,0.0000,0.0000,-18.1276,18.1276,0.0000,0.0000,0.0000,0.0000,5.0000,-17.4561,6.2256,0.0000,2.9758,-0.0003,0.0000,0.0000,0.0000
14226,5.2772,-10.2503,-97.0000,-39.0306,-77.4279,-97.0000,0.0000,0.0000,-17.6993,17.6993,0.0000,0.0000,0.0000,0.0000,5.0000,-19.4092,6.2256,0.0000,3.0578,-0.0004,0.0000,0.0000,0.0000
14236,5.2772,-10.2064,-97.0000,-38.9647,-77.4279,-97.0000,0.0000,0.0000,-17.2823,17.2823,0.0000,0.0000,0.0000,0.0000,5.0000,-19.4092,5.3711,0.0000,3.0966,-0.0006,0.0000,0.0000,0.0000
14246,4.8652,-10.1734,-97.0000,-38.9263,-77.1422,-97.0000,0.0000,0.0000,-16.8960,16.8960,0.0000,0.0000,0.0000,0.0000,5.0000,-20.0806,4.8218,0.0000,3.1262,-0.0008,0.0000,0.0000,0.0000
14256,4.4093,-10.1404,-97.0000,-38.8823,-76.9939,-97.0000,0.0000,0.0000,-16.4942,16.4942,0.0000,0.0000,0.0000,0.0000,5.0000,-20.6299,4.5166,0.0000,3.1448,-0.0012,0.0000,0.0000,0.0000
14266,3.6952,-10.1075,-97.0000,-38.8494,-76.8291,-97.0000,0.0000,0.0000,-16.0501,16.0501,0.0000,0.0000,0.0000,0.0000,5.0000,-24.6582,4.5776,0.0000,3.1532,-0.0015,0.0000,0.0000,0.0000
14276,3.6952,-10.0855,-97.0000,-38.8274,-76.6533,-97.0000,1.3654,0.0000,-15.6209,15.6209,0.0000,0.0000,0.0000,0.0000,5.0000,-24.6582,3.5400,0.0000,3.1359,-0.0020,0.0000,0.0000,0.0000
14286,3.2887,-10.0580,-97.0000,-38.8164,-76.4775,-97.0000,3.7003,0.0000,-15.2278,15.2278,0.0000,0.0000,0.0000,0.0000,5.0000,-28.1372,2.1973,0.0000,3.1113,-0.0026,0.0000,0.0000,0.0000
