Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.010,2.155,-24.735,-109.253,88.318,0.000,0.000,-2.483,7.202,-0.014,0.040,4.259,-6.742,1.752,5.450,100.000,
0.024,0.771,-23.949,-115.112,76.233,0.000,0.000,-2.560,6.797,-0.066,0.189,4.543,-7.103,2.093,4.704,100.000,
0.032,-1.800,-23.081,-116.089,71.045,0.000,0.000,-2.371,6.570,-0.162,0.455,4.793,-7.163,2.186,4.384,100.000,
0.040,-3.283,-22.361,-143.494,74.341,0.000,0.000,-3.507,6.590,-0.295,0.805,5.348,-8.855,2.002,4.587,100.000,
0.050,-3.283,-21.664,-143.494,67.017,0.000,0.000,-3.507,6.311,-0.466,1.213,5.348,-8.855,2.175,4.135,100.000,
0.060,-4.887,-21.664,-152.527,67.017,0.000,0.000,-3.841,6.311,-0.673,1.653,5.571,-9.412,2.175,4.135,100.000,
0.070,-6.491,-21.664,-155.945,67.017,0.000,0.000,-3.922,6.311,-0.907,2.109,5.701,-9.623,2.175,4.135,100.000,
0.080,-8.199,-19.818,-169.617,74.341,0.000,0.000,-4.529,6.307,-1.165,2.568,5.938,-10.466,1.720,4.587,100.000,
0.090,-10.017,-19.027,-179.810,82.092,0.000,0.000,-4.983,6.407,-1.444,3.018,6.113,-11.095,1.341,5.066,100.000,
0.100,-11.830,-18.154,-177.429,90.027,0.000,0.000,-4.795,6.462,-1.743,3.454,6.154,-10.949,0.907,5.555,100.000,
0.110,-15.143,-17.214,-157.471,94.849,-0.014,0.040,-3.644,6.320,-2.045,3.868,6.073,-9.717,0.467,5.853,100.000,
0.120,-15.143,-16.198,-157.471,100.586,-0.066,0.189,-3.644,5.597,-2.329,4.251,6.073,-9.717,-0.610,6.207,100.000,
0.130,-16.675,-16.198,-151.367,100.586,-0.162,0.455,-3.278,5.597,-2.583,4.592,6.062,-9.340,-0.610,6.207,100.000,
0.140,-18.136,-14.133,-142.883,100.830,-0.295,0.805,-2.793,3.452,-2.801,4.875,6.024,-8.817,-2.770,6.222,100.000,
0.150,-19.455,-13.111,-128.601,98.816,-0.466,1.213,-2.017,2.508,-2.974,5.077,5.919,-7.936,-3.590,6.098,100.000,
0.160,-20.559,-12.155,-117.065,91.309,-0.673,1.653,-1.394,1.950,-3.092,5.184,5.829,-7.224,-3.684,5.634,100.000,
0.170,-22.690,-11.309,-100.525,82.947,-0.907,2.109,-0.494,1.586,-3.148,5.199,5.709,-6.203,-3.533,5.118,100.000,
0.180,-23.602,-10.496,-88.745,82.397,-1.165,2.568,0.120,0.794,-3.135,5.128,5.596,-5.476,-4.290,5.084,100.000,
0.190,-23.602,-9.612,-88.745,91.064,-1.444,3.018,0.120,-0.448,-3.056,4.973,5.596,-5.476,-6.067,5.619,100.000,
0.200,-24.420,-8.612,-80.444,99.792,-1.743,3.454,0.555,-1.495,-2.920,4.730,5.519,-4.964,-7.653,6.158,100.000,
0.210,-25.184,-7.502,-74.707,109.375,-2.045,3.868,0.859,-2.363,-2.734,4.398,5.469,-4.610,-9.112,6.749,100.000,
0.220,-25.865,-6.316,-64.514,117.737,-2.329,4.251,1.374,-3.067,-2.505,3.983,5.355,-3.981,-10.332,7.265,100.000,
0.230,-26.431,-5.075,-51.514,120.667,-2.583,4.592,2.011,-3.697,-2.235,3.495,5.190,-3.179,-11.143,7.446,100.000,
0.240,-27.140,-3.806,-25.574,125.305,-2.801,4.875,3.228,-4.213,-1.921,2.946,4.806,-1.578,-11.945,7.732,100.000,
0.250,-27.140,-2.471,-25.574,130.005,-2.974,5.077,3.228,-4.630,-1.562,2.347,4.806,-1.578,-12.652,8.022,100.000,
0.260,-27.266,-1.152,-4.028,127.686,-3.092,5.184,4.170,-5.138,-1.164,1.713,4.418,-0.249,-13.017,7.879,100.000,
0.270,-27.101,0.122,26.672,126.526,-3.148,5.199,5.396,-5.552,-0.725,1.054,3.750,1.646,-13.360,7.807,100.000,
0.280,-26.612,0.122,60.181,126.526,-3.135,5.128,6.550,-5.552,-0.238,0.381,2.836,3.714,-13.360,7.807,100.000,
0.290,-25.827,1.309,87.280,118.164,-3.056,4.973,7.285,-6.149,0.300,-0.292,1.899,5.386,-13.441,7.292,100.000,
0.300,-24.871,2.424,100.708,114.624,-2.920,4.730,7.547,-6.555,0.883,-0.959,1.332,6.214,-13.628,7.073,100.000,
0.310,-23.185,4.242,63.965,74.890,-2.734,4.398,6.372,-8.236,1.490,-1.625,2.425,3.947,-12.857,4.621,100.000,
0.320,-22.959,4.242,10.986,74.890,-2.505,3.983,4.531,-8.236,2.081,-2.296,3.853,0.678,-12.857,4.621,100.000,
0.330,-22.959,5.313,10.986,47.302,-2.235,3.495,4.531,-9.086,2.618,-2.969,3.853,0.678,-12.005,2.919,100.000,
0.340,-22.959,5.692,10.986,37.659,-1.921,2.946,4.531,-9.328,3.091,-3.641,3.853,0.678,-11.652,2.324,100.000,
0.350,-22.959,6.038,10.986,36.438,-1.562,2.347,4.531,-9.481,3.501,-4.304,3.853,0.678,-11.730,2.248,100.000,
0.360,-25.091,6.417,-77.637,39.612,-1.164,1.713,0.713,-9.603,3.832,-4.950,5.504,-4.791,-12.047,2.444,100.000,
0.370,-25.618,6.851,-49.011,43.945,-0.725,1.054,2.098,-9.706,4.056,-5.570,5.123,-3.024,-12.418,2.712,100.000,
0.380,-27.804,6.851,-164.368,43.945,-0.238,0.381,-3.737,-9.706,4.152,-6.158,6.405,-10.143,-12.418,2.712,100.000,
0.390,-29.287,6.851,-125.610,43.945,0.300,-0.292,-1.635,-9.706,4.098,-6.707,6.116,-7.751,-12.418,2.712,100.000,
0.400,-29.287,8.104,-125.610,31.738,0.883,-0.959,-1.635,-10.331,3.916,-7.217,6.116,-7.751,-12.290,1.958,100.000,
0.410,-29.694,8.104,-8.972,31.738,1.490,-1.625,4.066,-10.331,3.679,-7.691,4.619,-0.554,-12.290,1.958,100.000,
0.420,-29.276,8.422,53.223,23.987,2.081,-2.296,6.508,-10.537,3.480,-8.130,3.224,3.284,-12.017,1.480,100.000,
0.430,-28.793,8.620,45.471,9.216,2.618,-2.969,6.198,-10.673,3.372,-8.535,3.392,2.806,-11.242,0.569,100.000,
0.440,-28.398,8.620,40.344,9.216,3.091,-3.641,5.987,-10.673,3.349,-8.906,3.498,2.490,-11.242,0.569,100.000,
0.450,-28.073,8.543,28.076,-18.433,3.501,-4.304,5.508,-9.978,3.387,-9.238,3.775,1.732,-8.840,-1.137,100.000,
0.460,-27.156,8.389,78.735,-21.729,3.832,-4.950,7.168,-9.731,3.477,-9.523,2.309,4.858,-8.391,-1.341,100.000,
0.470,-27.156,8.186,78.735,-31.616,4.056,-5.570,7.168,-9.077,3.621,-9.753,2.309,4.858,-7.126,-1.951,100.000,
0.480,-27.315,7.587,-55.847,-77.209,4.152,-6.158,1.836,-5.619,3.786,-9.907,5.283,-3.446,-0.855,-4.764,100.000,
0.490,-28.716,6.538,-145.447,-113.159,4.098,-6.707,-2.701,-3.438,3.879,-9.943,6.274,-8.975,3.545,-6.983,100.000,
0.500,-29.337,6.538,-28.137,-113.159,3.916,-7.217,3.197,-3.438,3.866,-9.839,4.933,-1.736,3.545,-6.983,100.000,
0.510,-28.749,6.538,72.815,-113.159,3.679,-7.691,7.127,-3.438,3.829,-9.614,2.633,4.493,3.545,-6.983,100.000,
0.520,-26.876,2.577,95.520,-167.725,3.480,-8.130,7.615,-5.056,3.854,-9.306,1.721,5.894,5.294,-10.350,100.000,
0.530,-26.003,0.666,84.656,-199.524,3.372,-8.535,7.230,-6.473,3.952,-8.964,2.006,5.224,5.839,-12.312,100.000,
0.540,-26.003,-1.433,84.656,-210.510,3.349,-8.906,7.230,-6.926,4.106,-8.629,2.006,5.224,6.064,-12.990,100.000,
0.550,-25.255,-3.487,71.289,-209.167,3.387,-9.238,6.775,-6.766,4.296,-8.320,2.376,4.399,6.141,-12.907,100.000,
0.560,-24.728,-5.497,48.340,-197.998,3.477,-9.523,6.014,-6.103,4.501,-8.035,3.031,2.983,6.115,-12.218,100.000,
0.570,-24.107,-7.354,57.373,-182.678,3.621,-9.753,6.255,-5.234,4.704,-7.763,2.714,3.540,6.038,-11.272,100.000,
