Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.008,-18.514,-5.165,-1.160,0.427,0.000,0.000,3.743,0.807,0.021,0.004,3.815,-0.072,0.781,0.026,100.000,
0.384,-18.514,-5.165,-1.160,0.244,0.000,0.000,3.743,0.817,0.099,0.021,3.815,-0.072,0.802,0.015,100.000,
0.392,-18.514,-5.165,-1.160,0.000,0.000,0.000,3.743,0.830,0.243,0.053,3.815,-0.072,0.830,0.000,100.000,
0.400,-18.514,-5.165,-1.160,0.000,0.000,0.000,3.743,0.830,0.435,0.095,3.815,-0.072,0.830,0.000,100.000,
0.408,-18.514,-5.165,-1.160,0.000,0.000,0.000,3.743,0.830,0.663,0.145,3.815,-0.072,0.830,0.000,100.000,
0.416,-18.552,-5.165,-0.793,0.000,0.000,0.000,3.760,0.830,0.914,0.200,3.809,-0.049,0.830,0.000,100.000,
0.424,-18.552,-5.171,-0.793,-0.122,0.000,0.000,3.760,0.841,1.177,0.258,3.809,-0.049,0.849,-0.008,100.000,
0.432,-18.552,-5.187,-0.793,-0.244,0.000,0.000,3.760,0.862,1.446,0.318,3.809,-0.049,0.877,-0.015,100.000,
0.440,-18.552,-5.187,-0.977,-0.244,0.000,0.000,3.753,0.862,1.712,0.378,3.814,-0.060,0.877,-0.015,100.000,
0.448,-18.569,-5.187,-0.610,-0.244,0.000,0.000,3.769,0.862,1.971,0.436,3.806,-0.038,0.877,-0.015,100.000,
0.456,-18.569,-5.187,-0.610,-0.183,0.021,0.004,3.769,0.859,2.217,0.493,3.806,-0.038,0.870,-0.011,100.000,
0.464,-18.569,-5.187,-0.610,-0.183,0.099,0.021,3.769,0.859,2.450,0.546,3.806,-0.038,0.870,-0.011,100.000,
0.472,-18.569,-5.187,-0.610,-0.183,0.243,0.053,3.769,0.859,2.665,0.596,3.806,-0.038,0.870,-0.011,100.000,
0.480,-18.569,-5.187,-0.183,-0.183,0.435,0.095,3.785,0.859,2.862,0.641,3.796,-0.011,0.870,-0.011,100.000,
0.488,-18.569,-5.187,-0.183,0.000,0.663,0.145,3.785,0.849,3.039,0.682,3.796,-0.011,0.849,0.000,100.000,
0.496,-18.569,-5.187,-0.183,0.122,0.914,0.200,3.785,0.842,3.199,0.719,3.796,-0.011,0.835,0.008,100.000,
0.504,-18.569,-5.182,-0.183,0.366,1.177,0.258,3.785,0.824,3.339,0.751,3.796,-0.011,0.802,0.023,100.000,
0.512,-18.552,-5.182,-0.427,0.366,1.446,0.318,3.774,0.824,3.461,0.779,3.801,-0.026,0.802,0.023,100.000,
0.520,-18.552,-5.182,-0.427,0.427,1.712,0.378,3.774,0.821,3.566,0.802,3.801,-0.026,0.795,0.026,100.000,
0.528,-18.552,-5.176,-0.427,0.244,1.971,0.436,3.774,0.826,3.655,0.820,3.801,-0.026,0.811,0.015,100.000,
0.536,-18.552,-5.171,-0.427,-0.366,2.217,0.493,3.774,0.855,3.728,0.836,3.801,-0.026,0.877,-0.023,100.000,
0.544,-18.547,-5.171,0.061,-0.366,2.450,0.546,3.792,0.855,3.788,0.848,3.789,0.004,0.877,-0.023,100.000,
0.552,-18.547,-5.171,0.061,-0.122,2.665,0.596,3.792,0.841,3.836,0.858,3.789,0.004,0.849,-0.008,100.000,
0.568,-18.547,-5.171,0.061,0.000,2.862,0.641,3.792,0.835,3.874,0.866,3.789,0.004,0.835,0.000,100.000,
0.584,-18.547,-5.171,0.061,0.000,3.039,0.682,3.792,0.835,3.902,0.872,3.789,0.004,0.835,0.000,100.000,
0.600,-18.547,-5.165,0.061,0.244,3.199,0.719,3.792,0.817,3.922,0.875,3.789,0.004,0.802,0.015,100.000,
0.616,-18.525,-5.165,-0.183,0.244,3.339,0.751,3.781,0.817,3.936,0.877,3.793,-0.011,0.802,0.015,100.000,
0.632,-18.525,-5.160,-0.183,0.549,3.461,0.779,3.781,0.795,3.943,0.877,3.793,-0.011,0.761,0.034,100.000,
0.640,-18.525,-5.154,-0.183,0.671,3.566,0.802,3.781,0.782,3.945,0.875,3.793,-0.011,0.740,0.041,100.000,
0.648,-18.525,-5.154,-0.244,0.671,3.655,0.820,3.779,0.782,3.943,0.871,3.794,-0.015,0.740,0.041,100.000,
0.656,-18.525,-5.149,-0.244,0.488,3.728,0.836,3.779,0.788,3.938,0.867,3.794,-0.015,0.758,0.030,100.000,
0.664,-18.525,-5.143,-0.244,0.366,3.788,0.848,3.779,0.791,3.931,0.861,3.794,-0.015,0.768,0.023,100.000,
0.672,-18.525,-5.143,-0.244,0.366,3.836,0.858,3.779,0.791,3.921,0.855,3.794,-0.015,0.768,0.023,100.000,
0.684,-18.525,-5.138,-0.244,0.366,3.874,0.866,3.779,0.785,3.910,0.849,3.794,-0.015,0.763,0.023,100.000,
0.700,-18.525,-5.138,-0.244,0.366,3.902,0.872,3.779,0.785,3.899,0.842,3.794,-0.015,0.763,0.023,100.000,
0.720,-18.525,-5.138,-0.488,0.366,3.922,0.875,3.770,0.785,3.887,0.836,3.800,-0.030,0.763,0.023,100.000,
0.728,-18.525,-5.132,-0.488,0.366,3.936,0.877,3.770,0.780,3.875,0.830,3.800,-0.030,0.758,0.023,100.000,
0.744,-18.541,-5.132,-1.038,0.366,3.943,0.877,3.750,0.780,3.863,0.824,3.814,-0.064,0.758,0.023,100.000,
0.756,-18.541,-5.132,-1.038,0.427,3.945,0.875,3.750,0.776,3.851,0.818,3.814,-0.064,0.750,0.026,100.000,
0.768,-18.541,-5.121,-1.038,0.488,3.943,0.871,3.750,0.762,3.839,0.812,3.814,-0.064,0.732,0.030,100.000,
0.780,-18.541,-5.121,-1.038,0.000,3.938,0.867,3.750,0.792,3.827,0.807,3.814,-0.064,0.792,0.000,100.000,
0.792,-18.558,-5.121,-0.732,0.000,3.931,0.861,3.763,0.792,3.816,0.802,3.808,-0.045,0.792,0.000,100.000,
0.804,-18.563,-5.121,-0.671,0.000,3.921,0.855,3.766,0.792,3.806,0.798,3.807,-0.041,0.792,0.000,100.000,
0.816,-18.569,-5.121,-0.732,0.000,3.910,0.849,3.764,0.792,3.798,0.794,3.809,-0.045,0.792,0.000,100.000,
0.828,-18.574,-5.121,-0.977,0.000,3.899,0.842,3.755,0.792,3.790,0.792,3.815,-0.060,0.792,0.000,100.000,
0.840,-18.580,-5.121,-0.977,0.000,3.887,0.836,3.756,0.792,3.783,0.789,3.816,-0.060,0.792,0.000,100.000,
0.856,-18.580,-5.127,-0.977,0.000,3.875,0.830,3.756,0.797,3.776,0.788,3.816,-0.060,0.797,0.000,100.000,
0.872,-18.580,-5.127,-0.977,0.061,3.863,0.824,3.756,0.794,3.771,0.787,3.816,-0.060,0.790,0.004,100.000,
0.884,-18.580,-5.127,-0.977,0.061,3.851,0.818,3.756,0.794,3.766,0.786,3.816,-0.060,0.790,0.004,100.000,
0.896,-18.596,-5.127,-0.549,0.061,3.839,0.812,3.773,0.794,3.762,0.785,3.807,-0.034,0.790,0.004,100.000,
0.913,-18.596,-5.132,-0.549,0.000,3.827,0.807,3.773,0.802,3.759,0.785,3.807,-0.034,0.802,0.000,100.000,
0.932,-18.596,-5.132,-0.549,0.122,3.816,0.802,3.773,0.795,3.757,0.785,3.807,-0.034,0.787,0.008,100.000,
0.948,-18.596,-5.132,-0.549,0.122,3.806,0.798,3.773,0.795,3.756,0.786,3.807,-0.034,0.787,0.008,100.000,
0.964,-18.602,-5.132,-0.427,0.122,3.798,0.794,3.778,0.795,3.755,0.786,3.805,-0.026,0.787,0.008,100.000,
0.980,-18.602,-5.132,-0.427,0.122,3.790,0.792,3.778,0.795,3.755,0.787,3.805,-0.026,0.787,0.008,100.000,
