Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.005,-4.848,-4.642,-8.972,-7.202,0.000,0.000,1.016,0.763,0.006,0.004,1.570,-0.554,1.208,-0.444,100.000,
0.017,-4.924,-4.713,-9.705,-8.850,0.000,0.000,1.095,0.904,0.027,0.021,1.694,-0.599,1.450,-0.546,100.000,
0.025,-5.012,-4.713,-11.536,-8.850,0.000,0.000,1.194,0.904,0.069,0.053,1.906,-0.712,1.450,-0.546,100.000,
0.035,-5.117,-4.906,-12.329,-12.207,0.000,0.000,1.275,1.145,0.126,0.099,2.036,-0.761,1.898,-0.753,100.000,
0.045,-5.232,-4.906,-13.062,-12.207,0.000,0.000,1.359,1.145,0.198,0.158,2.165,-0.806,1.898,-0.753,100.000,
0.055,-5.364,-5.021,-14.832,-13.428,0.000,0.000,1.451,1.242,0.281,0.227,2.366,-0.915,2.070,-0.829,100.000,
0.065,-5.512,-5.290,-16.846,-15.076,0.000,0.000,1.528,1.417,0.374,0.306,2.567,-1.039,2.347,-0.930,100.000,
0.075,-5.683,-5.427,-19.287,-15.625,0.000,0.000,1.588,1.487,0.474,0.393,2.778,-1.190,2.451,-0.964,100.000,
0.085,-5.683,-5.576,-19.287,-16.479,0.000,0.000,1.588,1.554,0.578,0.487,2.778,-1.190,2.571,-1.017,100.000,
0.095,-5.880,-5.735,-21.057,-17.395,0.000,0.000,1.626,1.618,0.684,0.585,2.926,-1.299,2.691,-1.073,100.000,
0.105,-6.089,-5.735,-21.851,-17.395,0.006,0.004,1.651,1.618,0.789,0.687,3.000,-1.348,2.691,-1.073,100.000,
0.115,-6.089,-6.087,-21.851,-22.095,0.027,0.021,1.651,1.645,0.893,0.789,3.000,-1.348,3.008,-1.363,100.000,
0.125,-6.710,-6.087,-22.400,-22.095,0.069,0.053,1.749,1.645,0.993,0.890,3.132,-1.382,3.008,-1.363,100.000,
0.135,-6.710,-6.521,-22.400,-24.353,0.126,0.099,1.749,1.661,1.090,0.987,3.132,-1.382,3.163,-1.503,100.000,
0.145,-6.929,-6.718,-23.865,-23.071,0.198,0.158,1.743,1.732,1.182,1.081,3.216,-1.473,3.155,-1.424,100.000,
0.155,-7.479,-6.718,-31.006,-23.071,0.281,0.227,1.588,1.732,1.267,1.169,3.501,-1.913,3.155,-1.424,100.000,
0.165,-7.786,-6.894,-31.494,-20.020,0.374,0.306,1.609,1.849,1.343,1.253,3.553,-1.943,3.085,-1.235,100.000,
0.175,-7.786,-6.894,-31.494,-20.020,0.474,0.393,1.609,1.849,1.410,1.333,3.553,-1.943,3.085,-1.235,100.000,
0.185,-8.385,-7.361,-30.090,-15.198,0.578,0.487,1.729,2.067,1.469,1.410,3.586,-1.857,3.005,-0.938,100.000,
0.195,-8.687,-7.487,-29.846,-15.259,0.684,0.585,1.770,2.087,1.521,1.485,3.612,-1.842,3.029,-0.942,100.000,
0.205,-8.687,-7.625,-29.846,-17.029,0.789,0.687,1.770,2.060,1.568,1.558,3.612,-1.842,3.111,-1.051,100.000,
0.215,-9.215,-7.795,-24.658,-19.958,0.893,0.789,2.014,1.996,1.612,1.627,3.535,-1.522,3.228,-1.232,100.000,
0.225,-9.215,-7.982,-24.658,-21.057,0.993,0.890,2.014,1.988,1.655,1.692,3.535,-1.522,3.288,-1.299,100.000,
0.235,-9.215,-7.982,-24.658,-21.057,1.090,0.987,2.014,1.988,1.697,1.749,3.535,-1.522,3.288,-1.299,100.000,
0.245,-9.456,-7.982,-23.376,-21.057,1.182,1.081,2.086,1.988,1.738,1.801,3.528,-1.442,3.288,-1.299,100.000,
0.255,-10.083,-8.575,-17.517,-19.775,1.267,1.169,2.362,2.108,1.779,1.847,3.443,-1.081,3.328,-1.220,100.000,
0.265,-10.258,-8.773,-16.968,-20.569,1.343,1.253,2.400,2.106,1.824,1.889,3.447,-1.047,3.375,-1.269,100.000,
0.275,-10.445,-8.949,-17.334,-18.982,1.410,1.333,2.407,2.181,1.873,1.928,3.477,-1.070,3.353,-1.171,100.000,
0.285,-10.632,-9.119,-17.517,-17.761,1.469,1.410,2.421,2.244,1.924,1.965,3.501,-1.081,3.340,-1.096,100.000,
0.295,-10.802,-9.284,-15.747,-16.113,1.521,1.485,2.501,2.320,1.976,2.001,3.473,-0.972,3.314,-0.994,100.000,
0.305,-10.961,-9.284,-13.489,-16.113,1.568,1.558,2.598,2.320,2.029,2.036,3.430,-0.832,3.314,-0.994,100.000,
0.315,-11.104,-9.454,-11.292,-17.212,1.612,1.627,2.691,2.303,2.085,2.070,3.387,-0.697,3.365,-1.062,100.000,
0.330,-11.236,-9.679,-10.132,-22.888,1.655,1.692,2.745,2.127,2.142,2.102,3.371,-0.625,3.540,-1.412,100.000,
0.346,-11.362,-10.300,-10.498,-32.898,1.697,1.749,2.746,1.819,2.201,2.128,3.394,-0.648,3.849,-2.030,100.000,
0.361,-11.505,-10.300,-12.573,-32.898,1.738,1.801,2.688,1.819,2.261,2.143,3.464,-0.776,3.849,-2.030,100.000,
0.374,-11.665,-10.618,-14.221,-30.945,1.779,1.847,2.646,1.924,2.318,2.148,3.524,-0.878,3.834,-1.910,100.000,
0.381,-11.829,-10.618,-15.198,-30.945,1.824,1.889,2.628,1.924,2.371,2.147,3.566,-0.938,3.834,-1.910,100.000,
0.389,-12.011,-11.168,-15.930,-23.071,1.873,1.928,2.620,2.273,2.419,2.143,3.603,-0.983,3.697,-1.424,100.000,
0.397,-12.197,-11.404,-15.808,-20.752,1.924,1.965,2.642,2.383,2.462,2.142,3.618,-0.975,3.663,-1.281,100.000,
0.405,-12.197,-11.607,-15.808,-17.029,1.976,2.001,2.642,2.539,2.500,2.146,3.618,-0.975,3.590,-1.051,100.000,
0.413,-12.472,-11.915,-7.324,-12.756,2.029,2.036,2.974,2.724,2.536,2.158,3.426,-0.452,3.511,-0.787,100.000,
0.421,-12.560,-11.915,-4.761,-12.756,2.085,2.070,3.073,2.724,2.573,2.180,3.366,-0.294,3.511,-0.787,100.000,
