Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,R_command_actuator,L_command_actuator,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,scale_runtime,torque_delay_ms,filter_type,filter_cutoff_hz,filter_order,filter_enable_vr,filter_enable_torque,filter_cfg_seq,filter_source,filter_base_mode,filter_base_desc,filter_runtime_desc,tag,tag_raw
0.0070,5.7753,4.4010,-1.0376,-0.8545,-0.000003,-0.000009,-0.000009,-0.000003,-0.000009,-0.000003,-0.004457,0.000007,-0.001666,0.000006,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0170,5.7643,4.4010,-0.9766,-0.6104,-0.000031,-0.000080,-0.000080,-0.000031,-0.000080,-0.000031,-0.021429,0.000056,-0.008588,0.000045,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0270,5.7643,4.4120,-0.9766,-0.4272,-0.000141,-0.000349,-0.000349,-0.000141,-0.000349,-0.000141,-0.052818,0.000233,-0.022817,0.000180,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0370,5.7533,4.4284,-0.9155,0.0610,-0.000439,-0.001044,-0.001044,-0.000439,-0.001044,-0.000439,-0.096014,0.000653,-0.044205,0.000481,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0470,5.7533,4.4394,-0.9155,-0.0000,-0.001074,-0.002457,-0.002457,-0.001074,-0.002457,-0.001074,-0.149519,0.001434,-0.072179,0.000991,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0570,5.7478,4.4449,-0.6714,-0.3052,-0.002224,-0.004923,-0.004923,-0.002224,-0.004923,-0.002224,-0.211758,0.002662,-0.106107,0.001706,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0670,5.7478,4.4449,-0.6714,-0.3052,-0.004092,-0.008794,-0.008794,-0.004092,-0.008794,-0.004092,-0.280916,0.004379,-0.145265,0.002589,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0770,5.7423,4.4614,-0.4272,0.0610,-0.006890,-0.014420,-0.014420,-0.006890,-0.014420,-0.006890,-0.355467,0.006575,-0.188856,0.003598,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0870,5.7423,4.4614,-0.4272,-0.3662,-0.010830,-0.022136,-0.022136,-0.010830,-0.022136,-0.010830,-0.434035,0.009193,-0.236125,0.004693,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
0.0970,5.7423,4.4614,-0.3052,-0.4272,-0.016120,-0.032245,-0.032245,-0.016120,-0.032245,-0.016120,-0.515368,0.012140,-0.286368,0.005838,1.0000,0.000,startup,0.000,2,1,1,0,base,preset,"in_pos=butter_1_5hz_2nd, in_vel=butter_1_5hz_2nd, vel=butter_6hz_2nd, ref=butter_1_5hz_2nd, torque=butter_1_5hz_2nd",none,,
