Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.005,-11.070,-10.383,-0.305,-1.404,0.000,0.000,1.466,0.678,0.029,0.014,1.447,-0.019,0.592,-0.087,150.000,stop
0.019,-11.070,-10.388,-0.366,0.244,0.000,0.000,1.464,0.747,0.134,0.064,1.441,-0.023,0.762,0.015,150.000,stop
0.027,-11.070,-10.388,-0.366,0.244,0.000,0.000,1.464,0.747,0.308,0.149,1.441,-0.023,0.762,0.015,150.000,stop
0.035,-11.076,-10.383,-0.488,0.305,0.000,0.000,1.465,0.743,0.513,0.252,1.435,-0.030,0.762,0.019,150.000,stop
0.045,-11.081,-10.383,-0.427,0.305,0.000,0.000,1.473,0.743,0.721,0.357,1.447,-0.026,0.762,0.019,150.000,stop
0.056,-11.087,-10.388,-0.183,-0.549,0.000,0.000,1.489,0.717,0.914,0.456,1.477,-0.011,0.683,-0.034,150.000,stop
0.067,-11.087,-10.399,0.061,-1.038,0.000,0.000,1.498,0.710,1.085,0.540,1.502,0.004,0.646,-0.064,150.000,stop
0.075,-11.087,-10.410,0.122,-1.282,0.000,0.000,1.500,0.713,1.227,0.608,1.508,0.008,0.634,-0.079,150.000,stop
0.085,-11.087,-10.443,0.183,-0.793,0.000,0.000,1.503,0.767,1.340,0.661,1.514,0.011,0.718,-0.049,150.000,stop
0.096,-11.087,-10.443,0.183,-0.793,0.000,0.000,1.503,0.767,1.426,0.702,1.514,0.011,0.718,-0.049,150.000,stop
0.105,-11.087,-10.454,0.061,-0.610,0.000,0.000,1.498,0.786,1.487,0.735,1.502,0.004,0.748,-0.038,150.000,stop
0.115,-11.081,-10.454,-0.122,-0.610,0.000,0.000,1.485,0.786,1.527,0.759,1.477,-0.008,0.748,-0.038,150.000,stop
0.125,-11.081,-10.476,-0.122,-1.160,0.000,0.000,1.485,0.789,1.549,0.777,1.477,-0.008,0.718,-0.072,150.000,stop
0.135,-11.087,-10.476,-0.244,-1.160,0.000,0.000,1.486,0.789,1.558,0.789,1.471,-0.015,0.718,-0.072,150.000,stop
0.145,-11.098,-10.509,-0.366,-1.465,0.000,0.000,1.493,0.813,1.559,0.798,1.471,-0.023,0.723,-0.090,150.000,stop
0.155,-11.098,-10.537,-0.366,-1.099,0.029,0.014,1.493,0.857,1.553,0.805,1.471,-0.023,0.789,-0.068,150.000,stop
0.165,-11.114,-10.537,-0.854,-1.099,0.134,0.064,1.493,0.857,1.545,0.813,1.440,-0.053,0.789,-0.068,150.000,stop
0.175,-11.114,-10.548,-0.854,-1.282,0.308,0.149,1.493,0.862,1.536,0.821,1.440,-0.053,0.783,-0.079,150.000,stop
0.185,-11.114,-10.559,-0.854,-1.099,0.513,0.252,1.493,0.881,1.526,0.830,1.440,-0.053,0.813,-0.068,150.000,stop
0.195,-11.136,-10.559,-1.221,-1.099,0.721,0.357,1.502,0.881,1.518,0.840,1.427,-0.075,0.813,-0.068,150.000,stop
0.205,-11.147,-10.564,-1.343,-0.916,0.914,0.456,1.510,0.894,1.511,0.850,1.427,-0.083,0.837,-0.056,150.000,stop
0.215,-11.158,-10.586,-1.221,-1.038,1.085,0.540,1.526,0.913,1.507,0.859,1.451,-0.075,0.849,-0.064,150.000,stop
0.225,-11.180,-10.603,-0.366,-0.488,1.227,0.608,1.583,0.952,1.506,0.870,1.560,-0.023,0.922,-0.030,150.000,stop
0.235,-11.180,-10.603,0.000,-0.488,1.340,0.661,1.597,0.952,1.511,0.883,1.597,0.000,0.922,-0.030,150.000,stop
0.245,-11.180,-10.603,0.000,-0.488,1.426,0.702,1.597,0.952,1.521,0.897,1.597,0.000,0.922,-0.030,150.000,stop
0.255,-11.180,-10.603,0.000,-0.488,1.487,0.735,1.597,0.952,1.534,0.910,1.597,0.000,0.922,-0.030,150.000,stop
0.265,-11.163,-10.603,0.854,-0.488,1.527,0.759,1.612,0.952,1.547,0.922,1.665,0.053,0.922,-0.030,150.000,stop
0.275,-11.147,-10.603,0.977,0.366,1.549,0.777,1.599,0.984,1.560,0.933,1.659,0.060,1.007,0.023,150.000,stop
0.285,-11.125,-10.603,1.404,0.244,1.558,0.789,1.592,0.980,1.572,0.943,1.678,0.087,0.995,0.015,150.000,stop
0.295,-11.119,-10.597,0.732,0.488,1.559,0.798,1.560,0.983,1.580,0.953,1.605,0.045,1.013,0.030,150.000,stop
0.305,-11.108,-10.597,1.099,0.244,1.553,0.805,1.562,0.974,1.585,0.961,1.630,0.068,0.989,0.015,150.000,stop
0.315,-11.108,-10.597,1.099,0.244,1.545,0.813,1.562,0.974,1.586,0.968,1.630,0.068,0.989,0.015,150.000,stop
0.325,-11.098,-10.592,1.343,-0.610,1.536,0.821,1.559,0.935,1.585,0.971,1.642,0.083,0.898,-0.038,150.000,stop
