time,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,nn_torque_left,nn_torque_right,nn_qHr_left,nn_qHr_right,nn_L_P,nn_L_D,nn_R_P,nn_R_D,gait_cycle
0.0,-5.2037,-49.9421,82.9468,-62.9272,0.00020566310290567628,-0.000164372308700354,0.00013915941978092028,-0.00012691980139586226,0.006957970989046014,0.01934095891470283,-0.006345990069793113,-0.01467292758511827,-1
0.01,-4.4347,-50.4035,80.9937,-43.7012,0.0018709444164017308,-0.001477103511622131,0.0009298739592737905,-0.0008560869029966199,0.046493697963689525,0.09453185040569757,-0.042804345149830995,-0.06757865373494615,-1
0.02,-3.5888,-50.7331,85.6934,-32.7759,0.008521360995448042,-0.006673121295519158,0.0029272824895866826,-0.002830945847981504,0.14636412447933414,0.24006593342693824,-0.1415472923990752,-0.158426019839835,-1
0.03,-3.5888,-51.0023,85.6934,-3.3569,0.02642703670152294,-0.02061213147714841,0.006145911881527718,-0.006452561486946215,0.3072955940763859,0.4511486739297106,-0.3226280743473108,-0.26720810402433137,-1
0.04,-2.7263,-51.0023,86.1816,-3.3569,0.06386981436703772,-0.049748002180134226,0.010276437896557352,-0.011748792494985005,0.5138218948278676,0.7226188979602528,-0.5874396247492503,-0.3757220377456255,-1
0.05,-1.0674,-50.8924,83.6792,11.1084,0.12992163858247294,-0.1011128572400378,0.015097808785410562,-0.018475658360804996,0.7548904392705281,1.0479605652324215,-0.9237829180402498,-0.4733479349802889,-1
0.06,-0.2379,-50.6562,82.5806,22.3389,0.23345719134431775,-0.1812722157153071,0.020541115869021895,-0.026294677799122958,1.0270557934510947,1.4200545974294099,-1.3147338899561478,-0.5512781499309849,-1
0.07,0.5915,-50.3157,83.252,32.7759,0.38260734578252853,-0.295471046217117,0.026700867108773216,-0.03494683558633132,1.3350433554386607,1.8325805892552558,-1.747341779316566,-0.5998489659430241,-1
0.08,1.4485,-49.8378,87.0361,47.0581,0.5845524634780859,-0.44710879657684943,0.033610010911277334,-0.044308150751271334,1.6805005455638666,2.2814812983608177,-2.215407537563567,-0.6105569749492193,-1
0.09,2.3768,-48.3766,94.4214,83.4961,0.8453588496155076,-0.6374642431469852,0.04100710423550676,-0.05417108840527779,2.0503552117753383,2.765611009117208,-2.7085544202638894,-0.5689905319247739,-1
