Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.005,0.194,3.117,0.549,-1.160,0.000,0.000,-11.186,-14.687,-0.225,-0.295,-11.152,0.034,-14.758,-0.072,250.000,
0.017,0.194,3.216,0.549,2.686,0.000,0.000,-11.186,-14.620,-1.025,-1.344,-11.152,0.034,-14.454,0.166,250.000,
0.025,0.199,3.243,0.671,2.319,0.000,0.000,-11.186,-14.669,-2.354,-3.086,-11.145,0.041,-14.526,0.143,250.000,
0.035,0.210,3.243,0.732,2.319,0.000,0.000,-11.196,-14.669,-3.916,-5.132,-11.151,0.045,-14.526,0.143,250.000,
0.045,0.216,3.243,0.549,2.319,0.000,0.000,-11.212,-14.669,-5.503,-7.211,-11.178,0.034,-14.526,0.143,250.000,
0.055,0.221,3.265,-0.427,1.343,0.000,0.000,-11.266,-14.741,-6.980,-9.145,-11.293,-0.026,-14.658,0.083,250.000,
0.065,0.216,3.265,-0.793,1.343,0.000,0.000,-11.278,-14.741,-8.271,-10.833,-11.327,-0.049,-14.658,0.083,250.000,
0.075,0.194,3.265,-0.610,1.343,0.000,0.000,-11.243,-14.741,-9.340,-12.230,-11.281,-0.038,-14.658,0.083,250.000,
0.085,0.194,3.270,-0.122,0.183,0.000,0.000,-11.219,-14.802,-10.178,-13.328,-11.227,-0.008,-14.790,0.011,250.000,
0.095,0.194,3.270,-0.122,0.183,0.000,0.000,-11.219,-14.802,-10.800,-14.150,-11.227,-0.008,-14.790,0.011,250.000,
0.105,0.194,3.270,-0.122,0.183,0.000,0.000,-11.219,-14.802,-11.232,-14.730,-11.227,-0.008,-14.790,0.011,250.000,
0.115,0.194,3.270,-0.122,0.183,0.000,0.000,-11.219,-14.802,-11.509,-15.107,-11.227,-0.008,-14.790,0.011,250.000,
0.125,0.194,3.254,-0.122,-0.916,0.000,0.000,-11.219,-14.837,-11.663,-15.325,-11.227,-0.008,-14.893,-0.056,250.000,
0.135,0.194,3.232,-0.122,-0.366,0.000,0.000,-11.219,-14.783,-11.726,-15.424,-11.227,-0.008,-14.806,-0.023,250.000,
0.145,0.188,3.227,0.061,-0.183,0.000,0.000,-11.204,-14.767,-11.725,-15.437,-11.200,0.004,-14.778,-0.011,250.000,
0.155,0.194,3.227,0.183,-0.183,0.000,0.000,-11.204,-14.767,-11.683,-15.391,-11.193,0.011,-14.778,-0.011,250.000,
0.165,0.194,3.216,0.183,-0.732,0.000,0.000,-11.204,-14.782,-11.618,-15.313,-11.193,0.011,-14.827,-0.045,250.000,
0.175,0.194,3.205,0.183,-1.404,0.000,0.000,-11.204,-14.803,-11.543,-15.219,-11.193,0.011,-14.890,-0.087,250.000,
0.185,0.139,3.205,-0.916,-1.404,0.000,0.000,-11.194,-14.803,-11.467,-15.126,-11.251,-0.056,-14.890,-0.087,250.000,
0.195,0.139,3.194,-0.916,-1.404,0.000,0.000,-11.194,-14.790,-11.397,-15.040,-11.251,-0.056,-14.877,-0.087,250.000,
0.205,0.128,3.161,-0.793,-1.465,0.000,0.000,-11.176,-14.755,-11.335,-14.964,-11.225,-0.049,-14.845,-0.090,250.000,
0.215,0.122,3.161,-0.488,-1.465,0.000,0.000,-11.154,-14.755,-11.283,-14.899,-11.184,-0.030,-14.845,-0.090,250.000,
0.225,0.117,3.150,-0.244,-0.854,0.000,0.000,-11.136,-14.710,-11.239,-14.845,-11.151,-0.015,-14.763,-0.053,250.000,
0.235,0.117,3.144,-0.183,-0.366,0.000,0.000,-11.133,-14.679,-11.203,-14.800,-11.144,-0.011,-14.702,-0.023,250.000,
0.245,0.117,3.139,-0.366,-0.305,0.000,0.000,-11.142,-14.670,-11.174,-14.762,-11.164,-0.023,-14.689,-0.019,250.000,
0.255,0.117,3.139,-0.366,-0.305,-0.225,-0.295,-11.142,-14.670,-11.153,-14.730,-11.164,-0.023,-14.689,-0.019,250.000,
0.265,0.111,3.133,-0.427,-0.366,-1.025,-1.344,-11.138,-14.666,-11.139,-14.705,-11.165,-0.026,-14.689,-0.023,250.000,
0.275,0.106,3.111,-0.549,-1.770,-2.354,-3.086,-11.138,-14.712,-11.129,-14.687,-11.172,-0.034,-14.821,-0.109,250.000,
0.285,0.089,3.089,-0.671,-2.563,-3.916,-5.132,-11.125,-14.728,-11.124,-14.676,-11.166,-0.041,-14.886,-0.158,250.000,
0.295,0.078,3.089,-0.610,-2.563,-5.503,-7.211,-11.109,-14.728,-11.120,-14.674,-11.147,-0.038,-14.886,-0.158,250.000,
0.305,0.073,3.062,-0.549,-2.380,-6.980,-9.145,-11.100,-14.686,-11.117,-14.675,-11.134,-0.034,-14.833,-0.147,250.000,
0.315,0.073,3.062,-0.549,-2.380,-8.271,-10.833,-11.100,-14.686,-11.114,-14.678,-11.134,-0.034,-14.833,-0.147,250.000,
0.325,0.062,3.034,-0.549,-1.160,-9.340,-12.230,-11.087,-14.590,-11.111,-14.679,-11.121,-0.034,-14.661,-0.072,250.000,
0.335,0.056,3.012,-0.793,-0.916,-10.178,-13.328,-11.093,-14.551,-11.107,-14.673,-11.142,-0.049,-14.608,-0.056,250.000,
0.345,0.040,3.012,-2.136,-0.916,-10.800,-14.150,-11.139,-14.551,-11.104,-14.660,-11.271,-0.132,-14.608,-0.056,250.000,
0.361,-0.037,3.001,-5.066,-0.671,-11.232,-14.730,-11.192,-14.526,-11.105,-14.643,-11.505,-0.313,-14.568,-0.041,250.000,
0.369,-0.114,3.001,-9.399,-0.671,-11.509,-15.107,-11.319,-14.526,-11.115,-14.623,-11.899,-0.580,-14.568,-0.041,250.000,
0.377,-0.141,3.001,-2.808,-0.610,-11.663,-15.325,-10.962,-14.523,-11.127,-14.602,-11.135,-0.173,-14.561,-0.038,250.000,
0.385,-0.097,2.913,1.404,-10.803,-11.726,-15.424,-10.805,-14.890,-11.126,-14.590,-10.718,0.087,-15.556,-0.667,250.000,
0.395,-0.097,2.913,1.404,-10.803,-11.725,-15.437,-10.805,-14.890,-11.103,-14.599,-10.718,0.087,-15.556,-0.667,250.000,
0.405,-0.097,2.913,1.404,-10.803,-11.683,-15.391,-10.805,-14.890,-11.064,-14.628,-10.718,0.087,-15.556,-0.667,250.000,
0.415,-0.125,2.826,-7.996,-5.981,-11.618,-15.313,-11.236,-14.594,-11.027,-14.662,-11.729,-0.493,-14.963,-0.369,250.000,
0.425,-0.542,2.826,-14.709,-5.981,-11.543,-15.219,-11.097,-14.594,-11.008,-14.684,-12.005,-0.908,-14.963,-0.369,250.000,
0.435,-0.542,2.826,-14.709,-5.981,-11.467,-15.126,-11.097,-14.594,-11.006,-14.691,-12.005,-0.908,-14.963,-0.369,250.000,
