Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.007,-21.724,6.906,99.731,25.024,0.000,0.000,7.154,-9.901,0.040,-0.055,1.000,6.154,-11.446,1.544,100.000,
0.017,-21.724,7.044,99.731,25.452,0.000,0.000,7.154,-9.960,0.189,-0.263,1.000,6.154,-11.531,1.571,100.000,
0.027,-20.927,7.247,63.477,19.531,0.000,0.000,6.132,-10.059,0.458,-0.644,2.215,3.917,-11.264,1.205,100.000,
0.037,-20.521,7.307,20.752,14.282,0.000,0.000,4.714,-10.076,0.797,-1.158,3.434,1.281,-10.958,0.881,100.000,
0.047,-20.477,7.307,-15.625,14.282,0.000,0.000,3.310,-10.076,1.155,-1.767,4.274,-0.964,-10.958,0.881,100.000,
0.057,-20.719,7.384,-42.847,6.531,0.000,0.000,2.160,-10.031,1.491,-2.439,4.804,-2.644,-10.434,0.403,100.000,
0.067,-20.719,7.384,-42.847,6.531,0.000,0.000,2.160,-10.031,1.782,-3.145,4.804,-2.644,-10.434,0.403,100.000,
0.077,-21.328,7.384,4.456,6.531,0.000,0.000,4.167,-10.031,2.034,-3.864,3.892,0.275,-10.434,0.403,100.000,
0.087,-21.312,7.170,21.240,-15.686,0.000,0.000,4.795,-9.127,2.275,-4.571,3.485,1.311,-8.159,-0.968,100.000,
0.097,-21.312,6.923,21.240,-26.062,0.000,0.000,4.795,-8.386,2.521,-5.239,3.485,1.311,-6.778,-1.608,100.000,
0.107,-21.120,6.604,35.400,-31.982,0.040,-0.055,5.275,-7.759,2.771,-5.844,3.091,2.184,-5.785,-1.974,100.000,
0.117,-20.697,6.220,59.265,-39.612,0.189,-0.263,5.985,-6.941,3.028,-6.371,2.328,3.657,-4.497,-2.444,100.000,
0.127,-20.070,6.220,74.890,-39.612,0.458,-0.644,6.351,-6.941,3.297,-6.809,1.730,4.621,-4.497,-2.444,100.000,
0.137,-19.301,5.758,86.731,-47.791,0.797,-1.158,6.554,-5.998,3.580,-7.158,1.202,5.352,-3.049,-2.949,100.000,
0.147,-17.395,5.132,92.957,-67.566,1.155,-1.767,6.356,-4.119,3.870,-7.407,0.620,5.736,0.050,-4.169,100.000,
0.157,-16.747,4.237,43.335,-95.093,1.491,-2.439,5.086,-2.505,4.151,-7.534,2.412,2.674,3.362,-5.868,100.000,
0.167,-16.747,-0.141,43.335,-174.744,1.782,-3.145,5.086,-5.204,4.404,-7.549,2.412,2.674,5.579,-10.783,100.000,
0.177,-16.461,-0.141,11.169,-174.744,2.034,-3.864,4.018,-5.204,4.616,-7.494,3.329,0.689,5.579,-10.783,100.000,
0.187,-16.253,-0.141,16.663,-174.744,2.275,-4.571,4.185,-5.204,4.779,-7.398,3.157,1.028,5.579,-10.783,100.000,
0.197,-15.896,-2.130,44.373,-198.853,2.521,-5.239,5.017,-6.296,4.901,-7.280,2.279,2.738,5.975,-12.271,100.000,
0.207,-15.258,-2.130,70.740,-198.853,2.771,-5.844,5.553,-6.296,4.999,-7.157,1.188,4.365,5.975,-12.271,100.000,
0.217,-13.308,-8.832,108.398,-235.352,3.028,-6.371,2.337,-7.986,5.069,-7.049,-4.352,6.689,6.536,-14.523,100.000,
0.227,-11.908,-11.084,145.630,-226.990,3.297,-6.809,0.532,-7.473,5.072,-6.971,-8.454,8.986,6.534,-14.007,100.000,
0.237,-11.908,-15.270,145.630,-201.111,3.580,-7.158,0.532,-5.964,4.984,-6.914,-8.454,8.986,6.446,-12.410,100.000,
0.247,-10.293,-17.038,162.476,-168.518,3.870,-7.407,-0.443,-4.170,4.809,-6.846,-10.469,10.026,6.229,-10.399,100.000,
0.257,-8.903,-17.038,131.348,-168.518,4.151,-7.534,-1.475,-4.170,4.553,-6.742,-9.580,8.105,6.229,-10.399,100.000,
0.267,-8.007,-18.582,79.773,-151.001,4.404,-7.549,-1.436,-3.204,4.220,-6.596,-6.359,4.923,6.114,-9.318,100.000,
0.277,-7.491,-20.131,46.387,-156.860,4.616,-7.494,0.076,-3.474,3.836,-6.411,-2.787,2.862,6.206,-9.679,100.000,
0.287,-6.947,-21.850,33.447,-176.025,4.779,-7.398,0.388,-4.466,3.438,-6.202,-1.676,2.064,6.396,-10.862,100.000,
0.301,-6.403,-25.399,64.087,-180.664,4.901,-7.280,-2.099,-4.661,3.037,-5.991,-6.053,3.955,6.487,-11.148,100.000,
0.317,-6.403,-27.366,64.087,-199.829,4.999,-7.157,-2.099,-5.699,2.615,-5.798,-6.053,3.955,6.632,-12.331,100.000,
0.333,-5.717,-29.480,75.806,-211.792,5.069,-7.049,-3.164,-6.351,2.167,-5.639,-7.842,4.678,6.718,-13.069,100.000,
0.349,-5.717,-29.480,75.806,-211.792,5.072,-6.971,-3.164,-6.351,1.696,-5.523,-7.842,4.678,6.718,-13.069,100.000,
0.365,-4.486,-29.480,51.453,-211.792,4.984,-6.914,-3.133,-6.351,1.211,-5.449,-6.308,3.175,6.718,-13.069,100.000,
0.373,-4.041,-29.480,36.072,-211.792,4.809,-6.846,-2.598,-6.351,0.729,-5.410,-4.823,2.226,6.718,-13.069,100.000,
0.381,-3.355,-29.480,28.503,-211.792,4.553,-6.742,-2.756,-6.351,0.266,-5.400,-4.515,1.759,6.718,-13.069,100.000,
0.389,-3.086,-33.858,29.541,-214.111,4.220,-6.596,-3.076,-6.457,-0.173,-5.413,-4.899,1.823,6.755,-13.212,100.000,
0.397,-3.086,-42.115,29.541,-174.377,3.836,-6.411,-3.076,-4.197,-0.587,-5.433,-4.899,1.823,6.563,-10.760,100.000,
0.405,-2.789,-43.757,31.982,-156.494,3.438,-6.202,-3.504,-3.200,-0.976,-5.430,-5.477,1.974,6.456,-9.657,100.000,
0.413,-2.432,-43.757,37.170,-156.494,3.037,-5.991,-4.147,-3.200,-1.345,-5.383,-6.441,2.294,6.456,-9.657,100.000,
0.421,-2.069,-43.757,42.297,-156.494,2.615,-5.798,-4.753,-3.200,-1.702,-5.296,-7.363,2.610,6.456,-9.657,100.000,
0.429,-2.069,-46.548,42.297,-124.634,2.167,-5.639,-4.753,-1.451,-2.053,-5.171,-7.363,2.610,6.239,-7.691,100.000,
0.437,-1.295,-47.674,42.175,-107.605,1.696,-5.523,-5.374,-0.533,-2.397,-4.993,-7.976,2.602,6.107,-6.640,100.000,
0.445,-1.295,-48.635,42.175,-91.675,1.211,-5.449,-5.374,0.316,-2.735,-4.752,-7.976,2.602,5.973,-5.657,100.000,
0.453,-0.905,-49.426,39.185,-74.097,0.729,-5.410,-5.546,1.243,-3.065,-4.446,-7.964,2.418,5.816,-4.572,100.000,
