Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,M2_torque_command,M1_torque_command,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,L_P,L_D,R_P,R_D,torque_delay_ms,tag
0.004,0.143,-0.735,3.357,0.549,0.000,0.000,-4.356,-3.365,-0.024,-0.019,-4.564,0.207,-3.399,0.034,100.000,
0.014,0.171,-0.724,2.930,0.610,0.000,0.000,-4.354,-3.379,-0.115,-0.089,-4.534,0.181,-3.417,0.038,100.000,
0.024,0.193,-0.718,2.136,0.793,0.000,0.000,-4.322,-3.396,-0.282,-0.219,-4.453,0.132,-3.445,0.049,100.000,
0.034,0.204,-0.707,1.038,0.610,0.000,0.000,-4.260,-3.394,-0.505,-0.393,-4.324,0.064,-3.432,0.038,100.000,
0.044,0.204,-0.702,-0.183,0.732,0.000,0.000,-4.179,-3.407,-0.767,-0.599,-4.168,-0.011,-3.453,0.045,100.000,
0.054,0.204,-0.685,-0.183,0.916,0.000,0.000,-4.179,-3.435,-1.053,-0.826,-4.168,-0.011,-3.491,0.056,100.000,
0.064,0.149,-0.685,-4.028,0.916,0.000,0.000,-3.875,-3.435,-1.349,-1.066,-3.627,-0.249,-3.491,0.056,100.000,
0.074,0.149,-0.680,-4.028,0.610,0.000,0.000,-3.875,-3.420,-1.644,-1.310,-3.627,-0.249,-3.457,0.038,100.000,
0.084,0.006,-0.674,-7.690,0.793,0.000,0.000,-3.501,-3.437,-1.928,-1.553,-3.026,-0.475,-3.486,0.049,100.000,
0.095,-0.082,-0.669,-8.850,1.038,0.000,0.000,-3.343,-3.458,-2.191,-1.789,-2.797,-0.546,-3.522,0.064,100.000,
0.106,-0.175,-0.663,-8.972,0.854,-0.024,-0.019,-3.248,-3.451,-2.428,-2.015,-2.695,-0.554,-3.504,0.053,100.000,
0.122,-0.175,-0.663,-8.972,0.671,-0.115,-0.089,-3.248,-3.439,-2.636,-2.227,-2.695,-0.554,-3.480,0.041,100.000,
0.139,-0.175,-0.663,-8.972,0.061,-0.282,-0.219,-3.248,-3.398,-2.816,-2.425,-2.695,-0.554,-3.402,0.004,100.000,
0.150,-0.439,-0.663,-7.141,0.061,-0.505,-0.393,-3.127,-3.398,-2.970,-2.604,-2.686,-0.441,-3.402,0.004,100.000,
0.158,-0.494,-0.669,-4.761,0.000,-0.767,-0.599,-3.235,-3.389,-3.097,-2.766,-2.941,-0.294,-3.389,0.000,100.000,
0.166,-0.543,-0.669,-3.723,-0.244,-1.053,-0.826,-3.258,-3.373,-3.202,-2.909,-3.028,-0.230,-3.358,-0.015,100.000,
0.174,-0.582,-0.680,-3.052,-0.977,-1.349,-1.066,-3.267,-3.314,-3.287,-3.033,-3.079,-0.188,-3.254,-0.060,100.000,
0.182,-0.615,-0.691,-2.502,-0.977,-1.644,-1.310,-3.273,-3.304,-3.355,-3.139,-3.119,-0.154,-3.244,-0.060,100.000,
0.190,-0.642,-0.696,-2.319,-0.061,-1.928,-1.553,-3.260,-3.360,-3.407,-3.229,-3.117,-0.143,-3.356,-0.004,100.000,
0.198,-0.642,-0.713,-2.319,0.366,-2.191,-1.789,-3.260,-3.373,-3.446,-3.303,-3.117,-0.143,-3.395,0.023,100.000,
0.214,-0.697,-0.718,-2.136,-0.061,-2.428,-2.015,-3.221,-3.339,-3.472,-3.363,-3.089,-0.132,-3.336,-0.004,100.000,
0.230,-0.725,-0.779,-1.953,-1.953,-2.636,-2.227,-3.208,-3.158,-3.488,-3.410,-3.087,-0.121,-3.037,-0.121,100.000,
